time of flip	flipper	flip result
08:12:16	Gavin	T
08:12:31	Amnon	T
08:12:37	Abe	T
08:12:42	Nandi	T
08:12:49	Gavin	H
08:13:09	Megan	H
08:13:28	Amnon	H
08:13:34	Jessica	H
08:13:35	Henk	H
08:13:52	Claire	H
08:14:04	Gertrude	T
08:14:19	Gavin	T
08:14:32	Megan	H
08:14:35	Amnon	T
08:14:49	Philip	H
08:14:50	Gertrude	T
08:14:59	Henk	T
08:15:05	Steven	T
08:15:24	Gavin	H
08:15:27	Gertrude	T
08:15:41	Megan	H
08:15:46	Kylen	H
08:15:57	Steven	H
08:16:01	Gavin	T
08:16:11	Steven	T
08:16:28	Philip	H
08:16:45	Pierre	T
08:17:07	Amnon	T
08:17:09	Abe	T
08:17:26	Jessica	T
08:17:30	Henk	H
08:17:34	Kylen	H
08:17:54	Andrew	T
08:18:04	Jessica	H
08:18:24	Amnon	H
08:18:30	Vuli	H
08:18:35	Jessica	T
08:18:51	Reut	H
08:18:52	Kylen	T
08:18:53	Gavin	H
08:19:11	Henk	T
08:19:17	Helen	T
08:19:33	Claire	H
08:19:41	Gertrude	T
08:19:42	Illana	H
08:19:55	Amnon	H
08:20:00	Henk	H
08:20:09	Pierre	H
08:20:24	Pierre	H
08:20:36	Maryann	T
08:20:51	Megan	T
08:21:05	Amnon	T
08:21:09	Pierre	T
08:21:28	Reut	T
08:21:41	Illana	T
08:21:53	Gertrude	T
08:21:54	Gavin	H
08:22:08	Vuli	T
08:22:10	Gertrude	T
08:22:12	Henk	T
08:22:25	Amnon	T
08:22:37	Reut	T
08:22:58	Helen	H
08:23:05	Steven	T
08:23:06	Gavin	T
08:23:23	Gertrude	H
08:23:35	Gavin	T
08:23:57	Andrew	H
08:24:00	Claire	H
08:24:03	Reut	H
08:24:22	Abe	T
08:24:32	Helen	H
08:24:35	Andrew	T
08:24:50	Reut	T
08:24:52	Maryann	T
08:25:00	Gertrude	T
08:25:09	Gertrude	T
08:25:29	Steven	H
08:25:47	Gertrude	H
08:26:06	Steven	H
08:26:12	Helen	H
08:26:24	Kylen	T
08:26:44	Megan	T
08:26:56	Jessica	H
08:26:58	Andrew	H
08:27:19	Amnon	T
08:27:24	Pierre	H
08:27:43	Nandi	T
08:28:00	Helen	H
08:28:15	Gertrude	H
08:28:23	Pierre	H
08:28:31	Henk	H
08:28:42	Claire	H
08:28:43	Philip	T
08:28:44	Helen	T
08:29:03	Illana	H
08:29:05	Philip	T
08:29:07	Philip	H
08:29:08	Nandi	H
08:29:24	Nandi	T
08:29:39	Megan	H
08:29:55	Reut	H
08:30:10	Kylen	T
08:30:13	Andrew	T
08:30:29	Vuli	H
08:30:35	Claire	T
08:30:54	Jessica	T
08:30:55	Helen	H
08:30:59	Pierre	H
08:31:17	Reut	H
08:31:19	Megan	H
08:31:35	Nandi	T
08:31:50	Nandi	H
08:31:53	Amnon	H
08:32:01	Lindsay	T
08:32:05	Helen	T
08:32:25	Henk	T
08:32:37	Helen	H
08:32:53	Kylen	T
08:32:56	Lindsay	T
08:33:05	Steven	H
08:33:22	Megan	T
08:33:40	Gavin	T
08:33:41	Megan	H
08:33:59	Henk	T
08:34:18	Amnon	H
08:34:24	Helen	H
08:34:25	Gertrude	T
08:34:28	Steven	H
08:34:38	Amnon	H
08:34:48	Nandi	T
08:34:51	Henk	H
08:35:12	Abe	H
08:35:22	Lindsay	T
08:35:39	Megan	T
08:35:48	Claire	H
08:36:08	Reut	T
08:36:13	Amnon	H
08:36:25	Amnon	T
08:36:38	Jessica	H
08:36:49	Amnon	H
08:36:55	Lindsay	T
08:37:10	Andrew	H
08:37:14	Henk	T
08:37:28	Pierre	H
08:37:46	Lindsay	H
08:37:47	Pierre	H
08:38:02	Nandi	T
08:38:04	Gavin	T
08:38:17	Claire	T
08:38:35	Maryann	H
08:38:51	Vuli	T
08:39:12	Andrew	T
08:39:24	Claire	H
08:39:26	Lindsay	H
08:39:41	Lindsay	H
08:39:48	Andrew	H
08:40:02	Henk	H
08:40:03	Jessica	H
08:40:16	Lindsay	H
08:40:23	Gavin	T
08:40:39	Kylen	H
08:40:54	Gertrude	T
08:41:04	Megan	T
08:41:15	Gertrude	H
08:41:17	Vuli	H
08:41:33	Helen	H
08:41:48	Nandi	H
08:41:59	Philip	H
08:42:01	Andrew	H
08:42:14	Pierre	H
08:42:16	Gertrude	T
08:42:24	Helen	H
08:42:43	Pierre	H
08:43:04	Megan	H
08:43:19	Jessica	T
08:43:36	Jessica	H
08:43:42	Maryann	H
08:43:51	Nandi	T
08:44:01	Megan	H
08:44:10	Megan	T
08:44:19	Illana	H
08:44:23	Illana	H
08:44:37	Kylen	H
08:44:40	Gertrude	T
08:45:00	Pierre	T
08:45:11	Reut	H
08:45:27	Abe	H
08:45:46	Andrew	H
08:45:52	Philip	H
08:45:59	Nandi	T
08:46:10	Jessica	T
08:46:12	Reut	H
08:46:18	Megan	T
08:46:22	Gavin	T
08:46:33	Claire	H
