id	ageband	gender	education
1	3	6	7
2	1	6	7
3	2	5	7
4	3	6	10
5	2	5	10
6	3	6	9
7	4	5	9
8	4	6	9
9	3	6	9
10	2	6	10
11	1	5	8
12	2	6	8
13	3	6	7
14	3	5	7
15	4	6	9
16	4	5	8
17	4	5	7
18	4	5	10
19	2	6	10
20	3	6	8
21	4	6	8
22	4	5	8
23	4	5	8
24	3	5	9
25	2	6	8
26	2	6	9
27	2	6	10
28	4	6	9
29	2	6	10
30	2	6	8
31	4	6	9
32	2	5	9
33	4	5	8
34	4	5	9
35	4	5	9
36	1	5	7
37	3	6	9
38	2	5	7
39	3	5	10
40	2	6	7
41	4	5	10
42	1	5	10
43	3	6	7
44	1	6	8
45	1	6	10
46	3	5	7
47	4	6	8
48	3	6	10
49	4	5	7
50	3	6	10
51	1	5	9
52	1	6	8
53	2	5	8
54	4	6	9
55	4	6	7
56	3	6	10
57	1	6	9
58	2	5	8
59	4	6	7
60	2	5	9
61	3	5	10
62	4	5	9
63	2	5	8
64	2	5	8
65	1	6	10
66	3	6	10
67	1	6	9
68	1	5	7
69	1	6	7
70	4	6	10
71	3	5	7
72	4	5	10
73	3	6	9
74	3	6	9
75	2	5	8
76	4	6	9
77	4	5	9
78	4	6	8
79	1	6	7
80	3	6	9
81	4	5	10
82	4	6	7
83	2	5	8
84	4	6	10
85	2	6	9
86	1	5	7
87	2	6	10
88	1	6	7
89	3	5	8
90	1	5	8
91	1	6	10
92	3	5	10
93	2	5	8
94	2	6	7
95	3	5	10
96	3	6	9
97	4	6	7
98	3	5	9
99	4	5	8
100	4	5	9
